ID,Gender,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_2vdbLKG1dFWV3zA,male,english,Never,Never,None,No,Maybe,No,NA,KheuKhya,Female,Second,Khya,rough
R_2VpBqGyX4Kbf2We,male,English,Never,Rarely,None,No,Maybe,No,NA,KhyaKheu,Female,Second,Kheu,rough
R_2VpBqGyX4Kbf2We,male,English,Never,Rarely,None,No,Maybe,No,NA,KhyaKheu,Male,Second,Kheu,rough
R_2VpxKkh8IBRlZkJ,female,English,Never,Never,None,No,Maybe,No,NA,KheuKhya,Female,First,Kheu,rough
R_2VpxKkh8IBRlZkJ,female,English,Never,Never,None,No,Maybe,No,NA,KheuKhya,Male,Second,Khya,rough
R_2WtZgp0yxHYa4q2,male,english,Never,Never,None,No,Maybe,No,NA,KhyaKheu,Male,First,Khya,rough
R_2WtZgp0yxHYa4q2,male,english,Never,Never,None,No,Maybe,No,NA,KhyaKheu,Female,Second,Kheu,rough
R_331K49S38d0ohTh,female,enhlish,Never,Rarely,None,No,No,No,NA,KheuKhya,Male,First,Kheu,rough
R_331K49S38d0ohTh,female,enhlish,Never,Rarely,None,No,No,No,NA,KhyaKheu,Female,First,Khya,rough
R_3327XzCUnqXr6aJ,male,English,,,,,,,NA,KheuKhya,Female,Second,Khya,rough
R_3327XzCUnqXr6aJ,male,English,,,,,,,NA,KheuKhya,Male,Second,Khya,rough
R_33mC8W9JoGxa2FQ,female,English,Never,Occasionally,None,No,No,No,NA,KhyaKheu,Female,Second,Kheu,rough
R_33mC8W9JoGxa2FQ,female,English,Never,Occasionally,None,No,No,No,NA,KhyaKheu,Male,First,Khya,rough
R_3dYBFrxLs2HGPTX,female,english,Never,Regularly,None,No,No,No,NA,KhyaKheu,Male,First,Khya,rough
R_3dYBFrxLs2HGPTX,female,english,Never,Regularly,None,No,No,No,NA,KhyaKheu,Female,Second,Kheu,rough
R_3EgyRiwVqZ8b2lx,male,english,Never,Rarely,None,No,No,No,NA,KheuKhya,Female,First,Kheu,rough
R_3EgyRiwVqZ8b2lx,male,english,Never,Rarely,None,No,No,No,NA,KhyaKheu,Male,Second,Kheu,rough
R_3EL8k8SfPhQbr54,male,English,Short visit(s),Rarely,None,No,Yes,No,NA,KhyaKheu,Female,Second,Kheu,rough
R_3EL8k8SfPhQbr54,male,English,Short visit(s),Rarely,None,No,Yes,No,NA,KhyaKheu,Male,First,Khya,rough
R_3FX8HKJM0zkjyHO,male,english,Never,Occasionally,None,Maybe,Yes,Yes,NA,KhyaKheu,Female,First,Khya,rough
R_3FX8HKJM0zkjyHO,male,english,Never,Occasionally,None,Maybe,Yes,Yes,NA,KhyaKheu,Male,First,Khya,rough
R_3hFS1aHfJVb2BHS,female,English,Never,Never,None,No,No,No,NA,KhyaKheu,Female,First,Khya,rough
